conceptType,conceptUri,code,preferredLabel,altLabels,description
ISCOGroup,http://data.europa.eu/esco/isco/C2519,2519,"Concepteurs et analystes de logiciels, et concepteurs de multimédia non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C252,252,Spécialistes des bases de données et des réseaux d’ordinateurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C2521,2521,Spécialistes des bases de données,,
ISCOGroup,http://data.europa.eu/esco/isco/C2522,2522,Administrateurs de systèmes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2523,2523,Spécialistes des réseaux d’ordinateurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C2529,2529,Spécialistes des bases de données et des réseaux d’ordinateurs non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C26,26,"Spécialistes de la justice, des sciences sociales et de la culture",,
ISCOGroup,http://data.europa.eu/esco/isco/C261,261,Juristes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2611,2611,Avocats,,
ISCOGroup,http://data.europa.eu/esco/isco/C2612,2612,Magistrats,,
ISCOGroup,http://data.europa.eu/esco/isco/C2619,2619,Juristes non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C262,262,"Archivistes, bibliothécaires, documentalistes et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2621,2621,Archivistes paléographes et conservateurs de musée,,
ISCOGroup,http://data.europa.eu/esco/isco/C2622,2622,"Bibliothécaires, documentalistes et professions assimilées",,
ISCOGroup,http://data.europa.eu/esco/isco/C263,263,Spécialistes des sciences sociales et du clergé,,
ISCOGroup,http://data.europa.eu/esco/isco/C2631,2631,Économistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2632,2632,"Sociologues, anthropologues et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C2633,2633,"Philosophes, historiens et spécialistes des sciences politiques",,
ISCOGroup,http://data.europa.eu/esco/isco/C2634,2634,Psychologues,,
ISCOGroup,http://data.europa.eu/esco/isco/C2635,2635,Spécialistes du travail social,,
ISCOGroup,http://data.europa.eu/esco/isco/C2636,2636,Ministres des cultes,,
ISCOGroup,http://data.europa.eu/esco/isco/C264,264,"Auteurs, journalistes et linguistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C2641,2641,Auteurs et autres écrivains,,
ISCOGroup,http://data.europa.eu/esco/isco/C2642,2642,Journalistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2643,2643,"Traducteurs, interprètes et linguistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C265,265,Artistes créateurs et exécutants,,
ISCOGroup,http://data.europa.eu/esco/isco/C2651,2651,Artistes plasticiens,,
ISCOGroup,http://data.europa.eu/esco/isco/C2652,2652,"Compositeurs, musiciens et chanteurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C2653,2653,Danseurs et chorégraphes,,
ISCOGroup,http://data.europa.eu/esco/isco/C2654,2654,"Metteurs en scène de cinéma, de théâtre et d’autres spectacles",,
ISCOGroup,http://data.europa.eu/esco/isco/C2655,2655,Acteurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C2656,2656,"Annonceurs-présentateurs de radio, de télévision et autres médias",,
ISCOGroup,http://data.europa.eu/esco/isco/C2659,2659,Artistes créateurs et exécutants non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C3,3,Professions intermédiaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C31,31,Professions intermédiaires des sciences et techniques,,
ISCOGroup,http://data.europa.eu/esco/isco/C311,311,Techniciens des sciences physiques et techniques,,
ISCOGroup,http://data.europa.eu/esco/isco/C3111,3111,Techniciens des sciences chimiques et physiques,,
ISCOGroup,http://data.europa.eu/esco/isco/C3112,3112,Techniciens du génie civil,,
ISCOGroup,http://data.europa.eu/esco/isco/C3113,3113,Techniciens en électricité,,
ISCOGroup,http://data.europa.eu/esco/isco/C3114,3114,Techniciens en électronique,,
ISCOGroup,http://data.europa.eu/esco/isco/C3115,3115,Techniciens en construction mécanique,,
ISCOGroup,http://data.europa.eu/esco/isco/C3116,3116,Techniciens en chimie industrielle,,
ISCOGroup,http://data.europa.eu/esco/isco/C3117,3117,"Techniciens des mines, techniciens métallurgistes",,
ISCOGroup,http://data.europa.eu/esco/isco/C3118,3118,Dessinateurs industriels,,
ISCOGroup,http://data.europa.eu/esco/isco/C3119,3119,Techniciens des sciences physiques et techniques non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C312,312,"Superviseurs, mines, industries manufacturières et bâtiment",,
ISCOGroup,http://data.europa.eu/esco/isco/C3121,3121,"Superviseurs, mines",,
ISCOGroup,http://data.europa.eu/esco/isco/C3122,3122,"Superviseurs, industries manufacturières",,
ISCOGroup,http://data.europa.eu/esco/isco/C3123,3123,"Superviseurs, bâtiment",,
ISCOGroup,http://data.europa.eu/esco/isco/C313,313,"Techniciens, contrôle de processus industriels",,
ISCOGroup,http://data.europa.eu/esco/isco/C3131,3131,Conducteurs d’installations de production d’énergie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3132,3132,Conducteurs d’incinérateurs et d’installations de traitement de l’eau,,
ISCOGroup,http://data.europa.eu/esco/isco/C3133,3133,Conducteurs d’installations de traitement chimique,,
ISCOGroup,http://data.europa.eu/esco/isco/C3134,3134,Conducteurs d’installations de raffinage de pétrole et de gaz naturel,,
ISCOGroup,http://data.europa.eu/esco/isco/C3135,3135,"Contrôleurs des processus industriels, métallurgie",,
ISCOGroup,http://data.europa.eu/esco/isco/C3139,3139,"Techniciens, contrôle de processus industriels non classés ailleurs",,
ISCOGroup,http://data.europa.eu/esco/isco/C314,314,Techniciens et travailleurs assimilés des sciences de la vie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3141,3141,Techniciens des sciences de la vie (à l’exception de la médecine),,
ISCOGroup,http://data.europa.eu/esco/isco/C3142,3142,"Techniciens, agriculture et élevage",,
ISCOGroup,http://data.europa.eu/esco/isco/C3143,3143,"Techniciens, sylviculture",,
ISCOGroup,http://data.europa.eu/esco/isco/C315,315,Contrôleurs et techniciens des moyens de transport maritime et aérien,,
ISCOGroup,http://data.europa.eu/esco/isco/C3151,3151,Officiers mécaniciens de navires,,
ISCOGroup,http://data.europa.eu/esco/isco/C3152,3152,Officiers de pont et pilotes,,
ISCOGroup,http://data.europa.eu/esco/isco/C3153,3153,Pilotes d’avions et assimilés,,
ISCOGroup,http://data.europa.eu/esco/isco/C3154,3154,Contrôleurs de la circulation aérienne,,
ISCOGroup,http://data.europa.eu/esco/isco/C3155,3155,Techniciens de la sécurité aérienne,,
ISCOGroup,http://data.europa.eu/esco/isco/C32,32,Professions intermédiaires de la santé,,
ISCOGroup,http://data.europa.eu/esco/isco/C321,321,Techniciens de la médecine et de la pharmacie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3211,3211,Techniciens d’appareils électromédicaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C3212,3212,Techniciens de laboratoire médical,,
ISCOGroup,http://data.europa.eu/esco/isco/C3213,3213,Techniciens et assistants pharmaciens et préparateurs en pharmacie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3214,3214,Techniciens de prothèses médicales et dentaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C322,322,Personnel infirmier et sages femmes (niveau intermédiaire),,
ISCOGroup,http://data.europa.eu/esco/isco/C3221,3221,Personnel infirmier (niveau intermédiaire),,
ISCOGroup,http://data.europa.eu/esco/isco/C3222,3222,Sages-femmes (niveau intermédiaire),,
ISCOGroup,http://data.europa.eu/esco/isco/C323,323,Praticiens des médecines traditionnelles et des médecines complémentaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C3230,3230,Praticiens des médecines traditionnelles et des médecines complémentaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C324,324,Techniciens et assistants vétérinaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C3240,3240,Techniciens et assistants vétérinaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C325,325,Autres professions intermédiaires de la santé,,
ISCOGroup,http://data.europa.eu/esco/isco/C3251,3251,Assistants et thérapeutes en médecine dentaire,,
ISCOGroup,http://data.europa.eu/esco/isco/C3252,3252,Techniciens de dossiers médicaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C3253,3253,Agents de santé communautaire,,
ISCOGroup,http://data.europa.eu/esco/isco/C3254,3254,Opticiens,,
ISCOGroup,http://data.europa.eu/esco/isco/C3255,3255,Techniciens et assistants en physiothérapie,,
ISCOGroup,http://data.europa.eu/esco/isco/C3256,3256,Assistants médicaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C3257,3257,"Inspecteurs, salubrité de l’environnement et de la santé au travail, et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C3258,3258,Ambulanciers,,
ISCOGroup,http://data.europa.eu/esco/isco/C3259,3259,Professions intermédiaires de la santé non classées ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C33,33,"Professions intermédiaires, finance et administration",,
ISCOGroup,http://data.europa.eu/esco/isco/C331,331,Professions intermédiaires de la finance et des mathématiques,,
ISCOGroup,http://data.europa.eu/esco/isco/C3311,3311,Courtiers en valeurs et cambistes,,
ISCOGroup,http://data.europa.eu/esco/isco/C3312,3312,Responsables des prêts,,
ISCOGroup,http://data.europa.eu/esco/isco/C3313,3313,Professions intermédiaires de la comptabilité,,
ISCOGroup,http://data.europa.eu/esco/isco/C3314,3314,"Professions intermédiaires de la statistique, des mathématiques et assimilées",,
ISCOGroup,http://data.europa.eu/esco/isco/C3315,3315,Commissaires-priseurs et autres experts en évaluation,,
ISCOGroup,http://data.europa.eu/esco/isco/C332,332,"Agents de vente et d’achat, courtiers",,
ISCOGroup,http://data.europa.eu/esco/isco/C3321,3321,Agents d’assurances,,
ISCOGroup,http://data.europa.eu/esco/isco/C3322,3322,Représentants et techniciens commerciaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C3323,3323,Acheteurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C3324,3324,Courtiers en marchandises,,
ISCOGroup,http://data.europa.eu/esco/isco/C333,333,Agents de services commerciaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C3331,3331,Agents concessionnaires,,
ISCOGroup,http://data.europa.eu/esco/isco/C3332,3332,Organisateurs de conférences et d’événements,,
ISCOGroup,http://data.europa.eu/esco/isco/C3333,3333,Agents d’emploi et de recrutement de main-d’œuvre,,
ISCOGroup,http://data.europa.eu/esco/isco/C3334,3334,Agents immobiliers,,
ISCOGroup,http://data.europa.eu/esco/isco/C3339,3339,Agents de services commerciaux non classés ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C334,334,Secrétaires d’administration et secrétaires spécialisés,,
ISCOGroup,http://data.europa.eu/esco/isco/C3341,3341,"Superviseurs, travail de bureau",,
ISCOGroup,http://data.europa.eu/esco/isco/C3342,3342,"Secrétaires, services juridiques",,
ISCOGroup,http://data.europa.eu/esco/isco/C3343,3343,Secrétaires d’administration et secrétaires exécutifs,,
ISCOGroup,http://data.europa.eu/esco/isco/C3344,3344,Secrétaires médicales/médicaux,,
ISCOGroup,http://data.europa.eu/esco/isco/C335,335,Professions intermédiaires de l’application de la loi et assimilées,,
ISCOGroup,http://data.europa.eu/esco/isco/C3351,3351,Inspecteurs des douanes et des frontières,,
ISCOGroup,http://data.europa.eu/esco/isco/C3352,3352,Contrôleurs des impôts,,
ISCOGroup,http://data.europa.eu/esco/isco/C3353,3353,Agents des services publics accordant des prestations sociales,,
ISCOGroup,http://data.europa.eu/esco/isco/C3354,3354,Agents des services publics accordant des permis et des licences,,
ISCOGroup,http://data.europa.eu/esco/isco/C3355,3355,Inspecteurs et enquêteurs de police,,
ISCOGroup,http://data.europa.eu/esco/isco/C3359,3359,Professions intermédiaires de l’application de la loi et assimilées non classées ailleurs,,
ISCOGroup,http://data.europa.eu/esco/isco/C34,34,"Professions intermédiaires des services juridiques, des services sociaux et assimilés",,
ISCOGroup,http://data.europa.eu/esco/isco/C341,341,"Professions intermédiaires des services juridiques, des services sociaux et des religions",,
ISCOGroup,http://data.europa.eu/esco/isco/C3411,3411,Professions juridiques intermédiaires et assimilées,,
ISCOGroup,http://data.europa.eu/esco/isco/C3412,3412,Professions intermédiaires du travail social,,
ISCOGroup,http://data.europa.eu/esco/isco/C3413,3413,Professions intermédiaires des religions,,
ISCOGroup,http://data.europa.eu/esco/isco/C342,342,Travailleurs du secteur des sports et des activités de remise en forme,,
ISCOGroup,http://data.europa.eu/esco/isco/C3421,3421,Athlètes et sportifs de compétition,,
ISCOGroup,http://data.europa.eu/esco/isco/C3422,3422,Entraîneurs sportifs et arbitres de sport,,
ISCOGroup,http://data.europa.eu/esco/isco/C3423,3423,"Instructeurs et animateurs de programmes, loisirs et activités de remise en forme",,
