conceptType,conceptUri,skillType,reuseLevel,preferredLabel,altLabels,description
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/257b8857-5da2-46ea-be52-6dc67f6b996f,skill/competence,occupation-specific,operate router machinery,,"Operate machines and equipment used for cutting various hard materials, such as wood, composites, aluminum, steel, plastics and foams."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25886784-2382-4524-88e0-b04c4b5a178c,skill/competence,occupation-specific,allocate numbers to clients' belongings,,"Receive clients' coats, bags and other personal belongings, deposit them safely and allocate the clients with the corresponding number of their belongings for proper identification at return."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/258d3de5-60fd-4336-aa7e-7700b64f5ed5,knowledge,sector-specific,motion capture,,The process and techniques for capturing the movement of human actors in order to create and animate digital characters that look and move as humanly as possible.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/259225f8-c699-436f-8689-67e9cded258f,knowledge,sector-specific,types of coffee beans,,"Most known coffee types, Arabica and Robusta, and the cultivars under each one of those types."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/2592d0a3-a6ab-44f7-ac29-c145b4ad81c8,skill/competence,cross-sector,inspect cargo,,Conduct quality checks on cargo before loading and after unloading commences. Ensure total on-board cargo load is secure.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25983174-0bc5-4d66-9ffc-e368bf8d3e03,knowledge,occupation-specific,types of drums,,"Drums can be classified according to the manner of sound production and shape such as tubular drums, kettle drums, friction drums, mirlitons and frame drums. The division can also be based on the materials used for their production such as leather-headed drums, clay drums, wood drums and metal drums."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/259ee9fa-9dde-4f50-8027-4af21a994158,skill/competence,sector-specific,calculate oil deliveries,,Make up receipts and calculate deliveries of oil and other petroleum products. Apply standard formulas to calculate test result values.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25a11048-dc43-4696-8a71-2428233d68b6,knowledge,cross-sector,riveting machine types,,"The various types of machines used for riveting purposes, their qualities and applications, such as the impact riveting machine, radial riveting machine, orbital riveting machine, rollerform riveting machine, and others."
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25a599ff-27ab-4853-9a04-6174a0bd03b3,skill/competence,occupation-specific,manage drilling team,,Coordinate and supervise the activities of a drilling team.
KnowledgeSkillCompetence,http://data.europa.eu/esco/skill/25a713ba-cbc0-4388-80ca-dad1b7629533,skill/competence,occupation-specific,manage railway construction projects,,"Manage the overall planning, coordination, and control of a project from inception to completion; this includes maintaining contact with different types of equipment, materials and subcontractors, as related to the railway system, throughout the project."
